metric,model,mean diff,P(T test),P(wilcoxon test),P(ks test)
ROUGE-2,Baseline & Fusion,-0.11362300000000009,0.010449188538310899,0.0065922694080604635,0.13997518016385846
ROUGE-2,Baseline & Ordering,-0.004119999999999957,0.93451403694589597,0.62148994888870157,0.19304165192469011
ROUGE-2,Baseline & Ordering+Fusion,-0.1236096000000001,0.0051050560123188041,0.0044566094455675952,0.069092434889398091
ROUGE-2,Fusion & Ordering,0.10950300000000013,0.018701749637786994,0.0056470445023683548,0.069092434889398091
ROUGE-2,Fusion & Ordering+Fusion,-0.0099866000000000121,0.79877547262841786,0.75334568395674884,0.99999689889731391
ROUGE-2,Ordering & Ordering+Fusion,-0.11948960000000014,0.0099302146504130131,0.00098369909761899317,0.031376652153072448
ROUGE-SU4,Baseline & Fusion,-0.11362300000000009,0.010449188538310899,0.0065922694080604635,0.13997518016385846
ROUGE-SU4,Baseline & Ordering,-0.004119999999999957,0.93451403694589597,0.62148994888870157,0.19304165192469011
ROUGE-SU4,Baseline & Ordering+Fusion,-0.1236096000000001,0.0051050560123188041,0.0044566094455675952,0.069092434889398091
ROUGE-SU4,Fusion & Ordering,0.10950300000000013,0.018701749637786994,0.0056470445023683548,0.069092434889398091
ROUGE-SU4,Fusion & Ordering+Fusion,-0.0099866000000000121,0.79877547262841786,0.75334568395674884,0.99999689889731391
ROUGE-SU4,Ordering & Ordering+Fusion,-0.11948960000000014,0.0099302146504130131,0.00098369909761899317,0.031376652153072448
